stop_name,latitude,longitude
Porte d'Ivry,48.821593,2.369672
Pierre et Marie Curie,48.815931,2.377267
Mairie d'Ivry,48.810521,2.384290
Pré-Saint-Gervais,48.880272,2.398468
Danube,48.881816,2.394012
Botzaris,48.879493,2.388567
Buttes-Chaumont,48.878514,2.381615
Bolivar,48.880667,2.374496
Place des Fêtes,48.876878,2.393020
Balard,48.836209,2.278225
Lourmel,48.838735,2.282143
Boucicaut,48.841094,2.287946
Félix Faure,48.842747,2.291912
Commerce,48.844795,2.293952
Ecole Militaire,48.854891,2.306403
La Tour-Maubourg,48.857725,2.310566
Invalides,48.861098,2.313773
Madeleine,48.870178,2.325729
Richelieu-Drouot,48.871942,2.338660
Grands Boulevards,48.871257,2.344561
Bonne Nouvelle,48.870590,2.348491
Filles du Calvaire,48.863258,2.366661
Saint-Sébastien-Froissart,48.861169,2.367211
Chemin Vert,48.857103,2.368184
Ledru-Rollin,48.851524,2.375101
Faidherbe-Chaligny,48.850178,2.384092
Montgallet,48.844066,2.390482
Michel Bizot,48.837117,2.402333
Porte Dorée,48.835154,2.406020
Porte de Charenton,48.832365,2.399330
Liberté,48.826620,2.405852
Charenton-Ecoles,48.821898,2.413133
Ecole Vétérinaire de Maisons-Alfort,48.814803,2.422376
Maisons-Alfort-Stade,48.809144,2.434510
Maisons-Alfort-Les Juilliottes,48.803355,2.445574
Créteil-L'Echat (Hôpital Henri Mondor),48.796682,2.449413
Créteil-Université,48.789920,2.450512
Créteil-Préfecture (Hôtel de Ville),48.780003,2.459363
Pointe du Lac,48.768763,2.464423
Pont de Sèvres,48.829746,2.231028
Billancourt,48.831738,2.237437
Marcel Sembat,48.833629,2.243579
Porte de Saint-Cloud,48.837961,2.257122
Exelmans,48.842413,2.259608
Michel-Ange-Molitor,48.845153,2.261684
Michel-Ange-Auteuil,48.847915,2.264150
Jasmin,48.852504,2.268177
Ranelagh,48.855485,2.270109
La Muette,48.858046,2.274155
Rue de la Pompe (Avenue Georges Mandel),48.863940,2.278442
Iéna,48.864794,2.294162
Alma-Marceau,48.864767,2.300991
Saint-Philippe du Roule,48.872046,2.310019
Miromesnil,48.873752,2.314600
Saint-Augustin,48.874476,2.322002
